# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  132       5.068413794742e-10       1.483477308151e-13      -5.629147490796e-12       0.000000000000e+00       4.797356838788e-12       7.791249283045e-13      -5.002668921683e-15 
  133       5.115084089368e-10       1.488387059517e-13      -5.683704246103e-12       0.000000000000e+00       4.697469719785e-12       7.665616119380e-13      -4.929432561551e-15 
  134       5.161728579358e-10       1.492642048619e-13      -5.736001177512e-12       0.000000000000e+00       4.600291885321e-12       7.543077472020e-13      -4.857467380284e-15 
  135       5.208332295086e-10       1.496237762431e-13      -5.785971971829e-12       0.000000000000e+00       4.505647845105e-12       7.423523432677e-13      -4.787013099748e-15 
  136       5.254879378280e-10       1.499170358878e-13      -5.833550933245e-12       0.000000000000e+00       4.413340519571e-12       7.306823464976e-13      -4.718316305404e-15 
  137       5.301354449626e-10       1.501436960546e-13      -5.878673645136e-12       0.000000000000e+00       4.323193061929e-12       7.192852416178e-13      -4.651570142751e-15 
  138       5.347746913695e-10       1.503036536428e-13      -5.921278957726e-12       0.000000000000e+00       4.235180238527e-12       7.081572639035e-13      -4.586726230607e-15 
  139       5.394047063584e-10       1.503969142061e-13      -5.961307274284e-12       0.000000000000e+00       4.149309784443e-12       6.972959467967e-13      -4.523663313541e-15 
  140       5.440244722143e-10       1.504235667468e-13      -5.998699982299e-12       0.000000000000e+00       4.065581098787e-12       6.866975150160e-13      -4.462245564827e-15 
  141       5.486329230756e-10       1.503837854853e-13      -6.033399492903e-12       0.000000000000e+00       3.983985026713e-12       6.763568518339e-13      -4.402322266255e-15 
  142       5.532289438116e-10       1.502778316304e-13      -6.065349280306e-12       0.000000000000e+00       3.904503641438e-12       6.662674663546e-13      -4.343727487928e-15 
  143       5.578113689008e-10       1.501060551486e-13      -6.094493921223e-12       0.000000000000e+00       3.827110026265e-12       6.564214607915e-13      -4.286279768071e-15 
  144       5.623789813091e-10       1.498688965349e-13      -6.120779134301e-12       0.000000000000e+00       3.751768056590e-12       6.468094977446e-13      -4.229781792831e-15 
  145       5.669305113674e-10       1.495668885817e-13      -6.144151819552e-12       0.000000000000e+00       3.678432181929e-12       6.374207674783e-13      -4.174020076084e-15 
  146       5.714646356499e-10       1.492006581497e-13      -6.164560097784e-12       0.000000000000e+00       3.607047207928e-12       6.282429551988e-13      -4.118764639236e-15 
  147       5.759799758522e-10       1.487709279369e-13      -6.181953350023e-12       0.000000000000e+00       3.537548078386e-12       6.192622083315e-13      -4.063768691029e-15 
  148       5.804750976690e-10       1.482785182492e-13      -6.196282256951e-12       0.000000000000e+00       3.469859657268e-12       6.104631037988e-13      -4.008768307346e-15 
  149       5.849485096721e-10       1.477243487700e-13      -6.207498838328e-12       0.000000000000e+00       3.403896510725e-12       6.018286152976e-13      -3.953482111010e-15 
  150       5.893986621890e-10       1.471094403300e-13      -6.215556492427e-12       0.000000000000e+00       3.339562689110e-12       5.933400805767e-13      -3.897610951593e-15 
  151       5.938239461801e-10       1.464349166776e-13      -6.220410035462e-12       0.000000000000e+00       3.276751508995e-12       5.849771687145e-13      -3.840837585216e-15 
  152       5.982226921172e-10       1.457020062482e-13      -6.222015741013e-12       0.000000000000e+00       3.215345335191e-12       5.767178473966e-13      -3.782826354357e-15 
  153       6.025932917768e-10       1.449120283732e-13      -6.220331622146e-12       0.000000000000e+00       3.155239903349e-12       5.685434573856e-13      -3.723304630140e-15 
  154       6.069345787179e-10       1.440663467389e-13      -6.215318224261e-12       0.000000000000e+00       3.096420290083e-12       5.604545354621e-13      -3.662316329930e-15 
  155       6.112454811900e-10       1.431664149565e-13      -6.206937981446e-12       0.000000000000e+00       3.038891620550e-12       5.524564064787e-13      -3.599991460128e-15 
  156       6.155249019041e-10       1.422137934114e-13      -6.195155020743e-12       0.000000000000e+00       2.982655070200e-12       5.445542016768e-13      -3.536466566658e-15 
  157       6.197717175364e-10       1.412101509534e-13      -6.179935202813e-12       0.000000000000e+00       2.927707771774e-12       5.367528519748e-13      -3.471884831184e-15 
