# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.912890594794e-01       2.261795125052e+02 
       6.218764275740e-01       2.026006877792e+02 
       6.572237826095e-01       1.795163264571e+02 
       6.993581371919e-01       1.564931117870e+02 
       7.518222180485e-01       1.332445548823e+02 
       8.213610635644e-01       1.092532092818e+02 
       9.218987702378e-01       8.407699132086e+01 
       1.081607111258e+00       5.823389502859e+01 
       1.334354073826e+00       3.564629976412e+01 
       1.677592725643e+00       2.067797640042e+01 
       2.111925034233e+00       1.185031460045e+01 
       2.658755962969e+00       6.735595221348e+00 
       3.347175445481e+00       3.800330207874e+00 
       4.213844226050e+00       2.129658173819e+00 
       5.304915577516e+00       1.186172859375e+00 
